央视,#genre#
CCTV8电视剧高清,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/肥羊/224/3221228194/index.m3u8
CCTV8电视剧高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225849/10000100000000060000000002694522_0.smil
CCTV8电视剧高清,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9纪录高清,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/肥羊/224/3221228303/index.m3u8
CCTV9纪录高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225700/10000100000000060000000000391315_0.smil
CCTV9纪录高清,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV9纪录高清,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV10科教高清,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/肥羊/224/3221228286/index.m3u8
CCTV10科教高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225699/10000100000000060000000000391290_0.smil
CCTV10科教高清,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV10科教高清,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11戏曲高清,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/肥羊/224/3221228289/index.m3u8
CCTV11戏曲高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225737/10000100000000060000000000401678_0.smil
CCTV11戏曲高清,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12社会与法高清,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/肥羊/224/3221228401/index.m3u8
CCTV12社会与法高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225698/10000100000000060000000000391289_0.smil
CCTV12社会与法高清,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV12社会与法高清,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13新闻高清,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/肥羊/224/3221228324/index.m3u8
CCTV13新闻高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225745/10000100000000060000000000403953_0.smil
CCTV13新闻高清,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV13新闻高清,https://live.goodiptv.club/api/cqyx.php?id=CCTVNewsHD
CCTV14少儿高清,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/肥羊/224/3221228292/index.m3u8
CCTV14少儿高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225697/10000100000000060000000000391272_0.smil
CCTV14少儿高清,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
